date,DAI Supply,Max DAI Supply,ETH Freed from CDPs that are still open,ETH Freed from completely closed CDPs,Locks volume ETH,"Stability Fee Paid, ETH",closed CDPs,1 - 7 days WIPES,30 - 365 days WIPES,7 - 30 days WIPES,less than 1 day WIPES,more than 365 days WIPES,"Locked in CDPs, ETH"
2017-12-18,595296.083029334,50000000,0,0.15,2423.64191164076,0,0,0,0,0,0,0,2423.43905491144
2017-12-19,1939733.3500496,50000000,0,0.008,3712.76240229575,0,10,0,0,0,43.0292320251465,0,6135.906205
2017-12-20,4113864.6000496,50000000,0,123.199998030643,8053.19506954155,0,1,0,0,0,634.277404785156,0,14064.26832547
2017-12-21,4869436.8880574,50000000,0,0,0,0,2,55.1220932006836,0,0,4.88150548934937,0,15496.7567870995
2017-12-22,4436534.95071128,50000000,0.02,100.05,3445.83277917794,0,6,1056.76794433594,0,0,34.1167869567871,0,18678.6295967219
2017-12-23,5195435.60037038,50000000,0,231.984359263329,1929.824401437,0,5,2.82652306556702,0,0,82.6583938598633,0,20376.1277938886
2017-12-24,5852971.45037038,50000000,0,4.21066495094845,3208.58657607796,0,4,0.294239491224289,0,0,1.30863010883331,0,23573.5249371537
2017-12-25,5972607.37037038,50000000,0,6.78959835191432,124.500980177537,0,1,3.50889849662781,0,0,0.815853714942932,0,23686.23479978
2017-12-26,6178057.37037038,50000000,9,545,270.553194566005,0,1,0,0,0,0,0,23402.6642317386
2017-12-27,5957503.22463582,50000000,0,502.151421813133,3270.42086968139,0,3,0.912387490272522,0,521.3642578125,0,0,26170.8214998788
2017-12-28,5794204.21353582,50000000,0,200,153.608534138533,0,1,0,0,285.613983154297,0.016041476279497,0,26124.3405043684
2017-12-29,5701123.21303582,50000000,0,0,0,0,0,0,0,135.729232788086,0.089584872126579,0,26210.879674033
2017-12-30,5728362.84908582,50000000,0,2.133,117.975927317309,0,2,0,0,1.1793509721756,0,0,26326.4811614492
2017-12-31,5939533.84908582,50000000,0.7,201.05,475.540081014976,0,1,0,0,206.214874267578,0.728625893592835,0,26596.8757250529
2018-01-01,5965958.00431582,50000000,0,1,77.9347011394139,0,0,0,0,0,0.029933221638203,0,26673.8102020788
2018-01-02,6167266.67217417,50000000,0,0,0,0,3,0,0,0.044954903423786,5.08042907714844,0,27014.4057020582
2018-01-03,6683058.31717417,50000000,1.5,2.438,1739.39435065813,0,3,0,0,2.08431315422058,5.67513656616211,0,28724.0548265232
2018-01-04,7779623.22018429,50000000,3.5,603.898793624231,4364.23871076091,0,3,0.114075802266598,0,16.2870540618896,19.5700931549072,0,32456.3106650518
2018-01-05,7656272.21018428,50000000,0,511.005,273.629158667329,0,0,0,0,221.295333862305,6.03532695770264,0,32218.8176202903
