__timestamp,Locked Amount,Accumulated Lock,Accumulated Free
2019-03-18,2214631.8815223174,3758153.7944351644,1543521.9129128468
2019-04-10,2214461.0472503034,3955064.548836989,1740603.5015866854
2019-03-19,2214043.8521220624,3764668.0889740824,1550624.23685202
2019-03-17,2212164.153976038,3754520.375455018,1542356.22147898
2019-03-20,2211088.0913083088,3767671.8460415234,1556583.7547332146
2019-04-07,2202064.367394671,3888576.277125601,1686511.9097309306
2019-04-11,2199929.9021276906,3960521.3254959895,1760591.4233682987
2019-04-08,2199845.143547943,3906475.4580654902,1706630.3145175476
2019-03-21,2198886.141247251,3772377.262836441,1573491.1215891899
2019-04-09,2195812.0383996363,3909522.3997442764,1713710.3613446401
2019-04-12,2192635.2894201344,3966822.9038850875,1774187.614464953
2019-04-14,2185099.630726015,3979701.1740769115,1794601.5433508963
2019-04-05,2184324.617192367,3858791.732892508,1674467.1157001413
2019-04-13,2183470.032909578,3967638.3522537975,1784168.3193442193
2019-03-15,2182724.722003405,3703319.39221345,1520594.6702100448
2019-04-06,2178976.8233910967,3862652.366200482,1683675.5428093856
2019-03-23,2178701.0579813737,3779254.817206312,1600553.7592249382
2019-03-22,2178581.8821203085,3774556.169706312,1595974.2875860033
2019-03-16,2177894.566774293,3713137.979398961,1535243.4126246686
2019-03-26,2176506.124356498,3785240.560296181,1608734.4359396829
2019-03-24,2176066.5902596824,3780138.0195122156,1604071.4292525335
2019-03-25,2175104.432339134,3782614.922532293,1607510.4901931589
2019-04-02,2175014.5171997105,3814972.5514611807,1639958.0342614702
2019-03-27,2174331.60897185,3786157.8325130804,1611826.2235412307
2019-03-14,2173077.6327390214,3691344.1425832915,1518266.5098442703
2019-04-01,2171342.404011159,3806107.096555512,1634764.692544353
2019-03-28,2171298.660447287,3790704.3932362064,1619405.7327889195
2019-03-31,2170906.7046704222,3804229.06051772,1633322.3558472977
2019-03-13,2170576.335454195,3685912.2395147714,1515335.9040605763
2019-03-30,2170221.2686420176,3802933.902384532,1632712.6337425145
2019-03-12,2170144.591600409,3683735.7131813667,1513591.1215809581
2019-04-15,2168208.0081212875,3986368.0427315105,1818160.0346102233
2019-04-04,2168093.310786492,3840643.4257996753,1672550.1150131829
2019-03-06,2167915.3980090064,3656632.003563724,1488716.6055547176
2019-03-07,2167617.5040082517,3661867.6393159404,1494250.1353076887
2019-03-11,2166846.0503812023,3676776.3742563603,1509930.3238751579
2019-03-08,2165830.825491625,3664362.9730427945,1498532.1475511699
2019-04-16,2164801.906170234,3997874.744087791,1833072.8379175572
2019-04-17,2164485.499878266,4004994.213468909,1840508.7135906431
2019-03-29,2164059.5688569983,3793966.551305994,1629906.9824489958
2019-03-10,2162702.4143338893,3670838.991478303,1508136.577144414
2019-04-03,2161418.0516668353,3831672.007858667,1670253.956191832
2019-03-09,2161042.1833433863,3667871.1253309385,1506828.9419875524
2019-03-05,2155181.6719550174,3639159.07569844,1483977.4037434226
2019-03-04,2154202.255763146,3633924.2328849756,1479721.9771218295
2019-04-18,2143539.706544214,4008340.8581938674,1864801.1516496532
2019-04-19,2137819.316535566,4011964.919031306,1874145.6024957404
2019-03-02,2132713.1393038547,3582354.248992428,1449641.1096885735
2019-03-03,2128125.89142631,3585125.64297793,1456999.75155162
2019-03-01,2126954.469222468,3575539.316632951,1448584.8474104833
2019-02-28,2109029.0893380917,3556656.2820913955,1447627.1927533038
2019-02-27,2104056.981713785,3549644.2572718523,1445587.2755580677
2019-02-26,2101202.210126758,3542402.718266003,1441200.5081392447
2019-04-20,2098909.753442434,4013960.3282594443,1915050.5748170102
2019-04-21,2097979.153145885,4015539.672956276,1917560.5198103914
2019-04-22,2097908.4763817033,4017898.4439118477,1919989.9675301441
2019-04-23,2096502.8509059786,4022340.7475125794,1925837.8966066008
2019-02-25,2094432.7861731965,3534642.695398338,1440209.9092251416
2019-04-24,2092289.8471125285,4031700.8020351427,1939410.9549226142
2019-02-23,2084458.4227436313,3497566.8538156063,1413108.431071975
2019-02-24,2083275.7528078193,3521010.1039380506,1437734.3511302313
2019-04-25,2078690.9163727676,4045438.3642592886,1966747.447886521
2019-02-22,2076416.6647589458,3484595.5246189386,1408178.8598599927
2019-02-19,2065814.6066943728,3446747.1600876907,1380932.5533933179
2019-02-21,2064198.5546586446,3467629.6984554282,1403431.1437967836
2019-04-26,2063480.243745359,4066763.260756368,2003283.017011009
2019-02-20,2062766.4262216215,3451830.994069379,1389064.5678477574
2019-02-17,2061095.6241820299,3433647.3971396848,1372551.772957655
2019-02-18,2060756.4439491834,3440482.2453379696,1379725.8013887862
2019-02-09,2058902.238626145,3397205.4760607155,1338303.2374345704
2019-02-16,2055223.3974562972,3425172.2231100886,1369948.8256537914
2019-02-10,2054188.590611652,3398563.2175755813,1344374.6269639293
2019-02-15,2051759.6960056543,3421372.8490648,1369613.1530591457
2019-02-07,2051337.7858046857,3368422.4226649413,1317084.6368602556
2019-02-14,2049999.3019153138,3418830.500286135,1368831.198370821
2019-02-13,2048705.2879636479,3414413.849668481,1365708.561704833
2019-02-06,2048023.7034073237,3363664.2213809025,1315640.5179735788
2019-04-27,2047015.6925255419,4068859.031253414,2021843.3387278724
2019-02-12,2043567.5782563912,3408711.1516344263,1365143.573378035
2019-04-28,2042445.7645022322,4069248.2449922324,2026802.4804900002
2019-04-29,2042152.9363399667,4080262.9036374725,2038109.9672975058
2019-02-11,2040061.1883572766,3402225.4805747047,1362164.292217428
2019-04-30,2037701.076281967,4084810.7106983243,2047109.6344163571
2019-02-08,2037151.0547935297,3372538.772510956,1335387.7177174264
2019-05-01,2035511.3272858392,4088376.267637946,2052864.940352107
2019-05-02,2029958.8138943268,4089211.645930369,2059252.8320360421
2019-02-05,2028304.359052962,3339947.9747674833,1311643.6157145214
2019-02-04,2025727.8445939983,3336598.0061413194,1310870.1615473211
2019-05-03,2018178.6073972236,4090982.510850508,2072803.9034532846
2019-05-04,2015312.9737146234,4093756.961528689,2078443.9878140658
2019-05-05,2014048.8284948957,4094688.823539156,2080639.9950442603
2019-02-03,2013933.2167514074,3324169.8530925117,1310236.6363411043
2019-02-02,2010462.6492558555,3318417.00395138,1307954.3546955246
2019-02-01,2002626.4263204269,3309903.368937069,1307276.9426166422
2019-01-31,2000453.4351587987,3305206.322836995,1304752.8876781964
2019-05-06,1999704.9962591403,4095764.5265938262,2096059.530334686
2019-01-30,1996018.9628023107,3299641.407927141,1303622.4451248304
2019-05-07,1995714.97094684,4098063.688596006,2102348.717649166
2019-05-08,1994516.7476332155,4104614.3050062847,2110097.557373069
2019-01-29,1989172.4118026374,3291817.192137927,1302644.7803352894
2019-05-09,1984604.3148407275,4105370.5046563633,2120766.189815636
2019-05-12,1976878.8081314415,4135578.3278693226,2158699.519737881
2019-01-28,1976030.7128451853,3273874.4971937044,1297843.784348519
2019-05-10,1969889.1505117398,4106600.7163569597,2136711.56584522
2019-05-13,1968392.610391845,4152333.042046512,2183940.431654667
2019-05-14,1967182.1709972476,4157126.07501888,2189943.9040216324
