__timestamp,Minted DAI,Burnt DAI,Total Supply
2020-08-16,510616756.182552,502007438.7942285,8609317.388323486
2020-08-15,510616063.03508055,502005669.0089762,8610394.026104331
2020-08-14,510615392.9755331,501981907.1579267,8633485.81760645
2020-08-02,510614428.1974622,501969008.3444603,8645419.853001893
2020-08-01,510603511.6459622,501958362.2465857,8645149.399376452
2020-07-26,510603332.9656085,501946838.23913604,8656494.726472437
2020-07-23,510590913.9656085,501943929.221629,8646984.743979454
2020-07-22,510590466.9697997,501943131.1322301,8647335.837569594
2020-07-21,510589915.5544775,501941517.03236043,8648398.522117078
2020-07-09,510587010.4790135,501788688.01126206,8798322.467751443
2020-06-25,510563361.1040135,501787209.58569056,8776151.518322945
2020-06-21,510561389.58234996,501783663.22142756,8777726.360922396
2020-06-19,510555882.6462449,501775961.90246344,8779920.743781447
2020-06-10,510554670.56232864,501730212.9514652,8824457.610863447
2020-06-09,510553731.1149085,501657602.2018565,8896128.913052022
2020-06-06,510551579.5048743,501637826.2291376,8913753.27573669
2020-06-04,510550388.3750808,501624285.7695289,8926102.605551898
2020-06-03,510549386.1789248,501613968.27067596,8935417.908248842
2020-05-22,510534295.76505655,501610472.9739284,8923822.791128159
2020-05-18,510532465.42813087,501603720.8166966,8928744.61143428
2020-05-17,510532465.4271309,501527395.3731918,9005070.053939104
2020-05-15,510511841.2801809,501516479.3716074,8995361.908573449
2020-05-14,510510504.18742734,501462264.22468174,9048239.962745607
2020-05-12,510510409.18742734,501435357.17885864,9075052.008568704
2020-05-11,510509977.8424273,500984647.41738164,9525330.42504567
2020-05-10,510509956.9674273,500896199.6932245,9613757.274202824
2020-05-09,510509216.9674273,500771915.420836,9737301.546591341
2020-05-08,510506640.42831445,500604254.2891838,9902386.139130652
2020-05-07,510505650.69131446,500515924.19845426,9989726.492860198
2020-05-06,510504418.29831445,500447875.62154746,10056542.676766992
2020-05-05,510503137.79831445,500389069.7431733,10114068.055141151
2020-05-04,510499919.4564613,500358827.54533035,10141091.911130965
2020-05-03,510495163.5443709,500319154.0266834,10176009.5176875
2020-05-02,510494329.3988709,500300945.53740627,10193383.86146462
2020-05-01,510490907.3988709,500276585.4025626,10214321.996308267
2020-04-30,510487815.6576717,500234481.3265534,10253334.331118286
2020-04-29,510482734.9879093,500170744.5302758,10311990.457633495
2020-04-28,510477777.43944216,500154928.90434605,10322848.535096109
2020-04-27,510464513.4378369,500112529.1621781,10351984.275658786
2020-04-26,510464184.1387423,500106573.3757952,10357610.762947142
2020-04-25,510459478.1387423,497762969.7976603,12696508.341082036
2020-04-24,510456224.14213896,497719562.5927646,12736661.549374342
2020-04-23,510440146.63186866,497646546.980663,12793599.651205659
2020-04-22,510437331.534121,497504970.5929545,12932360.94116646
2020-04-21,510433962.8945584,497394191.74006456,13039771.154493868
2020-04-20,510429507.0686824,497042094.8348771,13387412.233805299
2020-04-19,510426672.55590194,497029542.25700617,13397130.298895776
2020-04-18,510416789.1143737,496924903.6236514,13491885.490722299
2020-04-17,510410840.57090443,496852312.19080055,13558528.380103886
2020-04-16,510408290.0202741,496813252.600829,13595037.419445097
2020-04-15,510400091.1903,496777132.22681534,13622958.963484645
2020-04-14,510391497.91291374,496734049.83297616,13657448.079937577
2020-04-13,510385931.95076627,496685445.6347965,13700486.315969765
2020-04-12,510378282.2753263,496610654.3956787,13767627.879647613
2020-04-11,510366433.02477807,496608314.19028884,13758118.834489226
2020-04-10,510356447.07740015,496606077.0358054,13750370.041594744
2020-04-09,510344766.0258836,496521332.51524717,13823433.510636449
2020-04-08,510340001.6642972,496466390.49324715,13873611.171050072
2020-04-07,510333448.6668425,496454119.37430465,13879329.292537868
2020-04-06,510317670.80864805,496265770.75318134,14051900.055466712
2020-04-05,510299392.4019069,496241339.19689566,14058053.205011249
2020-04-04,510299301.1147754,496236238.52189565,14063062.592879772
2020-04-03,510297744.92699826,496235607.7817551,14062137.145243168
2020-04-02,510290406.5237961,496226373.1259071,14064033.397888958
2020-04-01,510281984.35863405,496208519.1190011,14073465.239632964
2020-03-31,510275951.4193362,496134633.82259834,14141317.596737862
2020-03-30,510274289.95412475,496121214.18010867,14153075.774016082
2020-03-29,510274145.0327134,496119863.18010867,14154281.852604747
