,0,1,2,3,4,5,6,7,8,9
0,5.393779853973555e-18,5.336728556930377e-18,4.548510117054162e-18,5.4038577226774e-18,4.721602813924731e-18,4.86962902497859e-18,4.587017109406306e-18,5.3637038094638115e-18,4.736860975305357e-18,4.70308139052577e-18
1,4.853923700810005e-18,4.477553181901638e-18,4.681653668731909e-18,4.867823275463008e-18,4.892143890155278e-18,4.579999638957242e-18,4.9806264315109495e-18,4.530544289425431e-18,5.12274166074281e-18,4.595202918372624e-18
2,5.436309028898207e-18,4.5078772698260556e-18,4.063286453660485e-18,4.5996812842472065e-18,4.3399325905535096e-18,5.671648994939065e-18,4.784605715181469e-18,4.413728283332018e-18,4.011415554034614e-18,4.5625697131613694e-18
3,4.346541084093144e-18,4.312670417621985e-18,4.394816204467268e-18,4.571226592336616e-18,4.966880257078067e-18,4.609009983989693e-18,4.3743470895249684e-18,4.703439357002279e-18,4.2029786970785496e-18,4.525001877827148e-18
4,4.664167211552381e-18,5.385898669131992e-18,4.317973937385069e-18,4.686297271709281e-18,4.5479454755193886e-18,4.370734022317966e-18,5.1369227792804345e-18,5.093644046169512e-18,5.37895162908589e-18,4.613222467269501e-18
5,4.857913258041013e-18,4.423672829802463e-18,4.370814092700537e-18,4.526430020004807e-18,4.134563312274142e-18,4.484840059341573e-18,4.158804095629889e-18,4.930854873294876e-18,5.5763252428730806e-18,4.464465557038991e-18
6,4.993085408502207e-18,5.2709831753925685e-18,4.718220115218792e-18,5.040051755886338e-18,4.828030052382192e-18,4.270516087460987e-18,5.757043652784301e-18,4.8941977830309955e-18,4.273791880024466e-18,4.944529559447081e-18
7,4.748321642286476e-18,3.9734654631904324e-18,4.2968184538777946e-18,5.371484366128641e-18,4.286419768950695e-18,4.6264559126096915e-18,4.931365872274193e-18,4.605592033273771e-18,5.4564399684536645e-18,5.383976925353692e-18
8,4.870638092577946e-18,5.139583371498731e-18,4.695515357030069e-18,4.501630333236481e-18,4.937872547117182e-18,4.107091936387975e-18,4.5781582758728836e-18,4.913150983669801e-18,4.2949165313643244e-18,5.41789768137413e-18
9,4.828572201710943e-18,4.3031727062170574e-18,5.155962882459349e-18,4.1476548638113926e-18,4.669835293824197e-18,4.445622258738825e-18,5.18095199216569e-18,4.74915205087296e-18,4.458655911569055e-18,4.865626488134434e-18
10,5.283896248737061e-18,4.638470881938843e-18,4.4284630872405415e-18,4.273223645216718e-18,4.283136765932049e-18,4.159808196264693e-18,4.731196913275284e-18,5.347459775291174e-18,4.5625707738883375e-18,4.6515665705369286e-18
11,4.62635167590767e-18,4.38191892483865e-18,4.7060431260177625e-18,4.626169795357694e-18,4.8351692812217375e-18,4.947994074927256e-18,4.6448852437468765e-18,4.760626617801472e-18,4.4127631015406755e-18,5.2048629061987864e-18
12,3.810985280983564e-18,4.3029161095610835e-18,4.799281399541452e-18,4.33005732421681e-18,4.978426332707135e-18,4.38405269899961e-18,4.836621610121691e-18,4.685712258744884e-18,5.031529426969716e-18,4.959774601026452e-18
13,4.951388463136604e-18,5.1439316151261256e-18,4.342460790860586e-18,4.441007477933403e-18,4.7199431377452795e-18,4.546407100618727e-18,5.413695771112794e-18,4.180694359320615e-18,4.61687594243589e-18,4.714629616559091e-18
14,5.603688456081267e-18,5.047708497276477e-18,4.468184975451492e-18,4.42093389500926e-18,4.7627225034202435e-18,5.085278799554933e-18,4.2133541576886045e-18,5.106174053051313e-18,4.678151472143421e-18,4.8984502715802575e-18
15,4.1794195422853065e-18,4.451551528087646e-18,4.272323432133773e-18,4.6171560916746654e-18,4.264842501114905e-18,4.974185053046815e-18,4.531385420687487e-18,4.548613830772081e-18,4.625065103402257e-18,4.5710502539441484e-18
16,5.2995553467762585e-18,4.603183267374391e-18,4.602752292864027e-18,4.25252821558357e-18,5.364451831470855e-18,4.703896939704855e-18,5.017889333452181e-18,4.111779798597996e-18,4.637796419405791e-18,4.5187751065155455e-18
17,5.273909924490167e-18,4.903828127169534e-18,5.587566584152466e-18,4.472248486644651e-18,4.298619460670364e-18,4.663158659503312e-18,4.2762472145352736e-18,4.90577982057205e-18,4.863056761797924e-18,3.962899732166466e-18
18,4.378377746546508e-18,4.450309515879902e-18,4.842582615900069e-18,4.365549955819806e-18,4.46328127328286e-18,5.005558046435366e-18,4.635292452192917e-18,4.266499621220821e-18,4.905794783196286e-18,3.772390567012566e-18
19,4.000047227032505e-18,4.39357996615724e-18,5.2297359308220325e-18,4.3300252458224265e-18,4.9084816987090726e-18,4.47038432010373e-18,4.905306713363192e-18,5.270929779495829e-18,5.1524399845858984e-18,4.369292688674544e-18
20,5.1779814412341345e-18,4.297035076939534e-18,4.702670416406739e-18,4.1212909858891346e-18,4.301166208732206e-18,4.700350175445558e-18,5.030629409886401e-18,5.024171668986581e-18,5.263083718419026e-18,5.138270685129548e-18
21,5.166858370817756e-18,4.790887047432663e-18,4.908443700500189e-18,4.94870135575272e-18,5.0230394470276005e-18,4.6649674497048794e-18,5.064289688780052e-18,4.6356703751320544e-18,4.620315773348407e-18,5.1034091252108436e-18
22,4.3212957939139164e-18,4.631282226470685e-18,4.038009135758766e-18,4.483023741785215e-18,4.600117951994248e-18,4.776982087911349e-18,3.951109887879334e-18,4.0922274707665e-18,4.67916990393846e-18,5.207357038532848e-18
23,4.1913057372366875e-18,4.3784336579802966e-18,5.380321484520708e-18,4.485942584827533e-18,5.0069066818159594e-18,5.21979192963133e-18,4.397440783883967e-18,4.0600087257366985e-18,4.50300782804332e-18,5.241695253239693e-18
24,4.5146145511404855e-18,4.721695086180135e-18,4.93504133505561e-18,3.9109139800223994e-18,4.216488689770412e-18,4.589199074015893e-18,5.2399402006056895e-18,4.804151359011505e-18,4.517797444385101e-18,4.518164064605787e-18
25,4.540717158505897e-18,4.468423323239588e-18,4.720631172421973e-18,4.603229805262398e-18,4.699166843502734e-18,4.5262428373940464e-18,4.510984921822462e-18,4.509174444542746e-18,4.551509141690949e-18,4.867788651182598e-18
26,4.124507206049231e-18,4.747750974916839e-18,5.086825953719974e-18,5.129438287764261e-18,4.590262245401122e-18,4.804227528533454e-18,4.655424912581197e-18,4.740706408821352e-18,4.756613922849688e-18,5.4568061378123225e-18
27,4.623547239970179e-18,4.937305910013161e-18,4.561568728156828e-18,5.133879501556406e-18,5.166708134168911e-18,5.202615931290986e-18,4.209136786118022e-18,4.797767850722905e-18,4.7309797999887466e-18,4.6466753868617004e-18
28,4.375639232602802e-18,4.815829848539019e-18,4.866670036806343e-18,5.026165434684069e-18,5.00304318197719e-18,4.5779912502686224e-18,4.495780164584111e-18,4.18613100146435e-18,5.368402222076013e-18,4.264180032726352e-18
29,4.848862300608351e-18,4.5721475311719924e-18,5.1971831944999025e-18,4.0404427699224996e-18,4.047211560011872e-18,4.665136071273739e-18,4.3266122763674604e-18,4.892786256401849e-18,5.089083694269494e-18,4.516888605149781e-18
30,4.6921341450696826e-18,4.624969673938699e-18,4.7839607500946845e-18,5.105680559778392e-18,4.417380247162378e-18,4.229260198100758e-18,4.563616921428854e-18,4.667308591486035e-18,4.037431819448626e-18,3.777681433166133e-18
31,4.864694082747698e-18,4.925500727504391e-18,4.0412125381278406e-18,5.2193465837337995e-18,4.770088199892271e-18,4.449447041948322e-18,4.852476243750851e-18,5.163158078390183e-18,4.068147926701106e-18,4.681125881977372e-18
32,4.469389846799262e-18,4.810290606141043e-18,4.6878825382016e-18,4.454797628589062e-18,4.89591855115289e-18,4.662699902284072e-18,5.2874164184005674e-18,4.566068559494378e-18,5.308141655185784e-18,4.9963211034952504e-18
33,4.568297675196354e-18,5.041549395508619e-18,4.8256528008256e-18,4.759224523453808e-18,4.815934430816175e-18,5.599633701452524e-18,4.483454833337308e-18,4.025089001306453e-18,4.9681865016110904e-18,4.37437806186325e-18
34,4.405049194461251e-18,4.897129219251893e-18,4.453734193648497e-18,4.7601025604525206e-18,4.727946898794859e-18,4.541583292679446e-18,4.863911233415477e-18,4.560714631004316e-18,4.8274244331234615e-18,3.7333710306417164e-18
35,4.0861135805482225e-18,4.5920551929455e-18,4.184582213700095e-18,4.315768476446649e-18,4.434073222734771e-18,5.075725342521548e-18,4.424768034806525e-18,4.377639200196656e-18,5.17585432949349e-18,4.618589788118202e-18
36,4.118923673849027e-18,5.1387341732642296e-18,4.462550068556587e-18,4.86837317096031e-18,5.194560750715451e-18,4.918371735527492e-18,4.642200578725229e-18,4.59128184388034e-18,4.905145556594629e-18,4.5204061606238304e-18
37,4.877885133170569e-18,5.294306977744096e-18,5.024845183692008e-18,5.465784779845246e-18,4.464574997442651e-18,4.7074401440864726e-18,4.979773887927445e-18,4.2750009052464225e-18,5.007627444106551e-18,4.563399544200636e-18
38,4.98066010005658e-18,5.568375897617604e-18,4.303578933309523e-18,4.645115716363297e-18,4.762185632686441e-18,5.161556031361098e-18,4.871811744324191e-18,4.743419725082211e-18,4.618468802996503e-18,4.058061923558144e-18
39,4.751073075794288e-18,4.199458484482995e-18,5.32052594461109e-18,5.3960648624978005e-18,5.4869412699903616e-18,4.67519564207358e-18,4.333292547638772e-18,5.261356501516593e-18,4.032047105385141e-18,4.8308857649846316e-18
40,4.8547581790610766e-18,4.7627768696091e-18,4.967470303224416e-18,4.9473424595285974e-18,5.237884277768907e-18,4.0347493548303814e-18,3.949385483753772e-18,4.827925068926251e-18,4.746053711417662e-18,4.560827754991919e-18
41,4.451161312447928e-18,5.038035148660198e-18,3.982388610497012e-18,4.796444741155465e-18,4.6822906512712085e-18,5.3019765252739285e-18,4.7679938353037335e-18,4.98296725439269e-18,5.218020746496382e-18,4.7437513728285716e-18
42,4.5871021363828114e-18,4.821708616630474e-18,4.632158322878719e-18,4.208422580346217e-18,4.372085675219114e-18,5.417301284305434e-18,5.27377210587126e-18,4.630904648915274e-18,4.864976496438697e-18,4.95535191295569e-18
43,4.723704575222089e-18,3.9861611424059936e-18,4.673845134410889e-18,4.792457772061718e-18,4.865436069652123e-18,4.544753161703397e-18,5.3878250175841264e-18,4.068521519878123e-18,4.285087689058592e-18,4.988588212799465e-18
44,4.280208817721275e-18,4.7892509927351924e-18,4.553217880897046e-18,4.757131076984354e-18,4.304149039250177e-18,5.036659113443286e-18,4.68502165231289e-18,4.859787844970412e-18,4.47786571860133e-18,4.715956519012287e-18
