,0,1,2,3,4,5,6,7,8,9
0,2.1638365753599223e+20,7.570096144905814e+19,8.813643692937973e+19,2.198649533000299e+20,6.232495778008733e+22,1.3471147802938997e+19,8.29875872402241e+21,1.7975038239489288e+18,5.966617641854322e+21,1.3465147158039894e+17
1,9.066744835007218e+20,9.524846830502977e+20,3.927835038833631e+17,8.480388754872515e+20,2.1365112261130365e+20,5.716573684102203e+21,3.747493044150214e+19,1.7578023983103402e+21,6.695429579062806e+22,1.4877594181777005e+20
2,3.3599490291432627e+20,2842198828987850.0,2.1786588780848336e+20,2.6119427391298384e+19,8.281983078350933e+22,1.1472037411411456e+19,2.857650077811891e+21,8.985252377966753e+19,5.580329704853061e+21,1.4174175594109347e+20
3,2.0965844990856213e+20,2.8935517441012675e+19,8.766406647947153e+19,1.597449931746315e+20,9.034470462365026e+20,1.3888673221302299e+22,7.349695220807096e+17,9.818634135315613e+20,1.873846676550206e+20,4.734081395047522e+18
4,7.984483915326664e+19,5.644476336587542e+18,7.776507135918098e+19,8.311794171606808e+21,7.692858141491567e+20,1.3369917544301712e+20,3.190944493692771e+18,1.1368448293289222e+23,1.5027567431268354e+19,5.3051898332149e+18
5,4.840197599948211e+20,2.453467065395091e+18,3.694977600067481e+19,8.836731977460222e+21,1.266960661603318e+19,3.6209994843401624e+20,3.1521858270374167e+20,1.9919219367262834e+20,1.4928977829915024e+17,1.3000303073609144e+19
6,8.926465718291117e+19,9.150760850088487e+18,1.1219286827037096e+19,4.206643669002185e+18,1.0194784582949379e+23,1.5101502690839322e+21,1.8583704191793752e+20,1.4788770519870072e+20,8.432627540456214e+19,7.661132973560083e+19
7,8.137868501893883e+21,4.206679241313169e+19,3.8570548781677104e+20,1.1536635875899632e+19,7.879555652732846e+16,1.696899737849903e+20,7.679588625491898e+19,1.6417776199392036e+18,6.724517352473619e+19,1.749582003758714e+19
8,5.363135199883753e+22,6.426585293091632e+19,2.825371631189076e+19,9.896737319635123e+17,1.834291892015773e+19,2.7542004875170968e+19,3.859032364672711e+19,2.1244422465354646e+19,1.755431284806726e+20,2.1006223323417147e+18
9,5.764323390288603e+19,1.9970471050046138e+20,2.0925622944644567e+19,9.159076535918128e+19,8.72929101654811e+19,9.304021843429116e+18,3.964147287578507e+20,1.4644123247563986e+20,1.234838688840991e+20,4.204472015197716e+19
10,2.0069639122513345e+21,7.703524047410402e+19,3.9180700447324406e+20,4.707420610869845e+17,1.7474398245722902e+21,1.967707966829035e+18,8.966059471546068e+19,6.495706250970785e+20,2.2808763369700583e+20,7.274866953894555e+18
11,1.8447325872641288e+20,6.85786834110758e+20,1.8483767329237693e+20,1.0405665342371262e+20,1.039946180142625e+19,1.1378328739304993e+21,1.1091838882170545e+21,2.3080257681948984e+21,2.0715462826167144e+20,6.484784182888075e+21
12,2.527355123612614e+20,1.1195531195054318e+19,4.784092755882808e+18,4.978412448734832e+20,5.073250734590952e+21,9.195641330918873e+19,1.6917518804109636e+20,5.647300267891727e+19,1.432169326880672e+21,3.3232965412815802e+22
13,1.6318000713938177e+22,6.437814643276895e+21,1.6327788254242115e+20,2.3322630603037184e+19,1.6959919822565583e+23,6.550902301137158e+18,2.7598715337045207e+20,1.4309599950835046e+18,8.826763355162275e+20,6.646517713866813e+17
14,1.6057424764123807e+18,4.210323484268306e+17,8.962363588851184e+18,6.324073843922629e+20,7.01802951536816e+18,6.634369261989268e+21,4.8176958047789934e+20,2.5475102552972063e+19,3.870429669298278e+20,7.791959580360581e+20
15,2.227864921649372e+18,6.004966987233362e+20,1.8669825292002772e+21,3.045214955672022e+20,3.212166671904173e+20,2.2392887475654607e+19,3.462603729055515e+23,1.1452164965864558e+22,8.14208234802516e+19,2.62605153852676e+20
16,2.8906342781037754e+17,7.587339842136954e+19,4.44043925626304e+21,3.5627217669979366e+17,1.1534828950332432e+17,7.402129231715972e+19,2.808857600064918e+21,1.2314790206163544e+19,2.569064889383785e+19,9.123583845733159e+21
17,3.3088263432549905e+21,2.3430556506544082e+20,1.4002398894476398e+20,2.34616570880184e+20,5.913940685513983e+19,2.7364730464652358e+19,7.340706897923816e+19,1.0023104410410777e+20,8.838732431016616e+22,5.8174429529371286e+20
18,1.7240136588564793e+21,5.182767464734617e+18,3.996707913202443e+21,1.947872760992826e+19,7.960212653051734e+17,4.180266123720932e+20,6.246047508537162e+21,1.873793619463999e+22,3.8055157046066545e+19,2.146932247228222e+20
19,5.652215255163473e+21,1.0447202326737084e+19,1.9248594549921605e+18,7.453951348133193e+19,4.05867522926919e+22,2.782031295085415e+20,2.9506208879828056e+21,3.733458008139028e+17,1.3033115202699506e+19,8.036846860467753e+20
20,1.1853620719497312e+23,2.227906189730782e+21,1.5281370960591244e+20,2.442573013446363e+19,8.824336033741783e+19,3.2819009588535696e+20,1.074948256207868e+18,3.2987961177026606e+20,1.426707037439329e+18,5.909390032035328e+19
21,2.186901400538427e+21,6.6059726291750405e+22,1.4094277485139085e+18,7.373317980202863e+20,3.1131389491742115e+22,2.0728188974936093e+19,9.371350409386424e+20,3.232506728858366e+22,1.6232442894526362e+23,7.462250059580725e+20
22,1.0797087521203192e+20,3.1910250537809252e+19,8.275659358908287e+19,9.133086628179227e+19,1.8874413729881525e+21,2.468592294664096e+19,2.2656111561488715e+21,1.4664386379719293e+19,4.3479322195919944e+18,2.9926805264650836e+21
23,1.7696995718307172e+21,7.318207937713922e+20,2.6440948544507177e+18,6.432737755587032e+18,5.334656753998674e+21,1.845029566948173e+19,1.114986490242981e+21,2.1582150307166726e+20,3.4425122179478303e+19,1.1162381984653882e+20
24,3.771472513911901e+18,6.258402675614143e+21,4.3043202605788073e+18,2.092647556134546e+20,7.85668459009845e+18,3.6079680127844913e+19,8.559561639876097e+20,1.1343415947249001e+22,1.6024543357100585e+18,2.4082770576915252e+22
25,4.5973145132332954e+20,8.566592824702458e+21,3.1965759127908175e+20,1.765508981684447e+21,1.7469528064628406e+18,5.453449710351834e+18,2.0312597720287848e+20,4.690371068227347e+18,1.3861250548588495e+19,2.3080458499963138e+21
26,5.394564313745726e+18,2.1409809410277225e+18,1.403852120109513e+19,2.9988051286338404e+19,3.304099187199544e+20,7.172254367850592e+18,4.1599389178399724e+18,1.7657875045481733e+20,6.264869097440352e+19,1.6901174348340895e+23
27,2.7204644056371158e+22,6.718213979269722e+17,3.154162478384817e+18,1.3466245044989137e+19,7.381392544308092e+18,5.425216133929541e+22,4.212242936512968e+22,1.2844228446382305e+21,8.812540978638188e+21,7.531432647266357e+18
28,1.7439081314266215e+20,7.549076824529079e+18,1.3238282199852028e+19,5.9820161092637606e+19,1.0820027274576042e+21,4.6544571713406315e+22,6.773997237405887e+19,5.927720468762589e+20,4.203156136181664e+19,1.7333291312388132e+20
29,7.427628595874426e+19,6.440468092683353e+21,4.360805047071437e+19,2.1463758535811196e+22,7.064281181722328e+19,9.377407859197078e+18,1.2784275518360242e+19,1.1348651414439025e+20,1.9071033465122134e+23,2.7917361213014544e+22
30,2.0482883047855403e+19,2.7292360000383596e+18,1.1351771393824335e+20,1.0022104256389252e+23,1.8302682511125394e+20,3.622840136905532e+17,9.24964400536284e+20,1.1243573667240751e+19,4.476359565505321e+17,4.995574832929603e+20
31,1.6516455681837506e+21,7.822863802951018e+19,1.08716306811425e+19,6.108521882815453e+20,2.217056014483153e+22,1.120802180837267e+19,6.736554134618086e+23,1.3622027991836507e+20,4.429510571823911e+19,4.911112387188299e+21
32,1.0349318325554233e+20,4.250991197502119e+22,4.6165434138429044e+20,1.0004686135356553e+22,1.7417942798416285e+20,7.845498248869571e+20,1.8812998227773985e+19,5.263084317706969e+19,5.648123550708909e+19,7.512558531580767e+22
33,2.535353483994762e+20,1.908752554207868e+20,1.2815246389724283e+20,3.951814481286842e+21,3.2188799593206093e+18,1.749978833344198e+21,6.050216016373839e+20,1.2251719270991856e+20,1.4823781719712635e+21,9.076059655354912e+18
34,2.6474085623711923e+17,7.288297809397248e+20,1.528023348390094e+20,5.5121665517107945e+19,6.543776487132274e+18,3.37084906158112e+17,3.2569048995745124e+20,4.987508306458751e+19,2.2940453169682004e+22,1.6662917258638338e+19
35,3.804354501492931e+20,3.2499461490869903e+19,5.929504174999815e+19,2.4480604345725814e+18,2.1019681549846875e+20,2.7330686323492916e+20,9.254639629439061e+20,3.55040896887966e+21,3.3703412565589406e+19,5.963892991528658e+21
36,3.631671723554504e+20,6.938364221708146e+20,2.0514105123357005e+21,5.1667112464889034e+20,1.7798020649688472e+20,2.2509135097596892e+16,2.2035876623181586e+22,1.5549904963052084e+21,8.569150900271088e+19,1.0707634888134334e+22
37,3.7819943591351386e+20,3.3976799141160047e+21,2.785815245290726e+20,2.327049066319084e+20,4.507055558742632e+20,1.6575767410020198e+20,4.434167334157383e+19,3.2070057612961874e+19,2.1586318946173444e+19,1.393415528642763e+21
38,2.6461295593484825e+22,2.563568738807908e+17,6.885459825803612e+18,4.81126570132924e+19,6.6780287627899806e+19,4.592347033002798e+20,1.845844967732103e+19,2.623180253389195e+20,2.2360693529477275e+21,4.254611877163475e+19
39,6.649540670986863e+20,1.2809298221154875e+21,7.912179010551453e+20,1.390171202634996e+19,5.0070696762702135e+20,2.0681425898820576e+23,6.731121853356122e+19,2.2803681008624386e+19,4.53140853130919e+20,1.0974821774796723e+20
40,4.729444845658619e+19,2.915729355256092e+23,5.57341352368476e+22,6.955287842528186e+19,6.433511715901295e+19,1.945001431169577e+19,1.2342763778791336e+21,1.008060947412866e+20,1.5240528685240476e+18,3.584677944253398e+20
41,8.886966371643048e+19,1.2552636041968382e+21,1.4658763450682288e+20,1.145612982701528e+20,4.011202672297472e+20,2.2743533376639017e+21,9.87650157730371e+20,4.477902594732275e+19,3.3846248224573057e+20,1.423148489602069e+20
42,7.685896126078879e+20,2.37460884099711e+19,7.81791557629317e+21,2.1403443192982524e+19,1.5344525283753198e+21,5.694190056312379e+21,6.932146882493555e+19,5.350070669048084e+20,2.097705590413513e+21,1.2307527090647789e+20
43,1.2473370557360422e+18,1.951876608599571e+21,4.068379124959123e+19,2.6329675352943477e+19,8.413380573735437e+18,1.5259500789004065e+22,3.10562013817714e+23,5.17534270245037e+19,5.149448706947824e+17,8.782749997901505e+19
44,5.810623167026078e+20,2.9658753383025623e+18,2.508962328040159e+20,1.0476484781220689e+20,5.403495290592634e+19,2.9337428917210332e+16,9.894333353671287e+19,1.059427256884409e+20,1.0291664016475192e+20,5.687495871941902e+21
45,6.01409145200774e+20,9.69115813541515e+19,8.237533001073117e+19,4.889303624504273e+21,1.495559303263272e+20,1.1506082777138967e+20,5.325315074442274e+19,9.43348065795456e+20,1.9717719946653634e+21,9.265815319055768e+18
46,1.1929621422556297e+19,1.1220617549832495e+22,8.866779633372235e+19,2.9320337186077714e+20,6.948881727518899e+20,1.453467445564004e+23,8.59987371165549e+20,7.3283450652035e+19,2.826215520676751e+23,7.013024475919138e+20
47,4.4155895905134003e+18,2.6765328749307027e+19,1.6940762971852772e+21,2.4417425174156222e+19,1.846654602763762e+19,6.541264273506772e+19,2.0358961183524022e+18,1.0738955447932016e+22,2.8775477999948752e+20,8.120105381884337e+20
48,3.247468739350748e+19,2.538965493785683e+19,1.9463468178451926e+20,2.3213335786583425e+19,2.2695850525584448e+20,2.6034983905279287e+21,6.510960349521979e+19,8.559355397159514e+18,6.684834010998314e+17,1.616434312611215e+22
49,4.897988005498145e+19,4.485948943088181e+18,3.654817205658118e+22,1.0224297120854907e+20,4.04577907926673e+20,2.1232383854973357e+20,1.5927703283734285e+21,1.1687947318768492e+21,9.578287231861337e+19,6.812299569972671e+17
50,2.5719028697879164e+20,2.7448866853677712e+17,2.085256560813716e+20,1.131178214397641e+19,8.708426625845397e+21,1.5923089372939687e+21,1.4916959891557198e+21,7.902826273952298e+19,9.35173451401578e+18,4.8916775573419255e+20
51,8.999057140170819e+19,6.472642923817574e+20,2.0213511853657193e+18,1.0828584332736618e+19,4.863180990433963e+19,1.3005860243793425e+20,2.4500429702412435e+19,8.165731294809465e+19,4.119259797739598e+20,4.524232521498665e+20
52,2.754364354126001e+23,1.2088272196834173e+19,5.006257221445292e+19,1.6387249292915173e+20,4.5050022494270004e+20,4.5525260894147066e+17,9.497629529572379e+18,4.38419141223247e+20,1.2567573167070702e+19,1.0815829680764047e+20
53,2.9075221423248276e+18,2.0675091819546305e+19,4.2458259094137607e+21,2.2320833148170086e+18,9.70319716876361e+18,2.2025144823735603e+18,1.1668180654751218e+20,1.7586739382264925e+20,5.964563169129369e+18,1.0344111149225885e+18
54,1.173991389016559e+19,1.3709555471302704e+20,6.941529249369539e+19,1.2867778500847955e+20,1.4403349077680195e+20,3.3917622098879734e+18,3.839243542555971e+19,7.441043250277178e+19,1.9547764277020767e+20,6.605141677419583e+17
55,6.801430660776626e+18,1.0430327101728598e+18,4.1741336023355155e+17,4.835833023400447e+19,8.759165016030183e+18,1.8037775928199221e+19,1.0966211716952396e+21,1.9927678106097776e+16,2.8267662378683704e+18,7.521917169176145e+18
