,0,1,2,3,4,5,6,7,8,9
0,1.5643108666883548e+25,1.5584231851206749e+25,1.474081893365874e+25,1.565348111508994e+25,1.4931165417963435e+25,1.5091541448963455e+25,1.4783434808230564e+25,1.5612103830365284e+25,1.494779696554337e+25,1.4910945310597097e+25
1,1.5074627531108164e+25,1.4661873794140286e+25,1.4887508895313872e+25,1.5089597948247305e+25,1.5115747582830273e+25,1.4775680258719856e+25,1.521041107326894e+25,1.4720881956628782e+25,1.5360940206339868e+25,1.4792473847347867e+25
2,1.5686824625965637e+25,1.4695678424915002e+25,1.4189493140438408e+25,1.4797416020781573e+25,1.4507175298532067e+25,1.592612758658422e+25,1.499968875635162e+25,1.4590392746361888e+25,1.4128872360432585e+25,1.4756397021008423e+25
3,1.4514652808827882e+25,1.4476274925984309e+25,1.4569124873414717e+25,1.476597840857847e+25,1.5195752875246458e+25,1.4807704096082402e+25,1.4546060549709291e+25,1.4911336437114843e+25,1.4351063525593785e+25,1.4714724452706855e+25
4,1.4868348443006185e+25,1.5634991304700054e+25,1.4482292948315665e+25,1.4892591774703163e+25,1.474019286790825e+25,1.4541984462035665e+25,1.5375861093091765e+25,1.5330268629423529e+25,1.562783184413434e+25,1.4812346807601516e+25
5,1.5078926356412266e+25,1.460155995066061e+25,1.454207480964936e+25,1.4716311405314383e+25,1.427223561430296e+25,1.4670006201380267e+25,1.430023136728556e+25,1.5157253488419416e+25,1.582972113280358e+25,1.464725293602292e+25
6,1.5223681509260497e+25,1.551604562426448e+25,1.4927475066034787e+25,1.527357815849902e+25,1.5046689140256738e+25,1.4428324788712009e+25,1.601190560833624e+25,1.5117953345355937e+25,1.4432058438164135e+25,1.5171881608489087e+25
7,1.4960273830341418e+25,1.408429950915621e+25,1.4458267851866959e+25,1.5620131817194284e+25,1.4446439511817194e+25,1.4826919746448497e+25,1.5157800432324441e+25,1.4803935698413896e+25,1.5707466069903896e+25,1.5633011197101259e+25
8,1.509262735646925e+25,1.5378658491340645e+25,1.4902675356242036e+25,1.4688722663771789e+25,1.516476265084686e+25,1.424042072873462e+25,1.477364462612908e+25,1.5138289027331675e+25,1.445610539012273e+25,1.566791761486449e+25
9,1.5047274769330996e+25,1.4465489494106355e+25,1.539586645269312e+25,1.4287364093341799e+25,1.4874562571285004e+25,1.4626168988972653e+25,1.5422074016216844e+25,1.4961177358872631e+25,1.4640756646585507e+25,1.5087233156420937e+25
