,0,1,2,3,4,5,6,7,8,9
0,1.4465703922617293e+20,5.060642142673588e+19,5.890844190719528e+19,1.4698795090637113e+20,4.399109827434343e+22,9.06613100628137e+18,5.685083602847827e+21,1.232146631203448e+18,4.07204577159577e+21,9.608383416728854e+16
1,6.092139534119637e+20,6.40172995974733e+20,2.7504870871046154e+17,5.696066141496254e+20,1.4282757638932174e+20,3.899576944443227e+21,2.5095323262342357e+19,1.1862154182809498e+21,4.731909576512881e+22,9.942340487563126e+19
2,2.2483050326263e+20,2227779222205195.5,1.4564945098209662e+20,1.7515964549259194e+19,5.875952008154895e+22,7.728827675357522e+18,1.9360868023115115e+21,6.0054275299824976e+19,3.805645329676374e+21,9.47208822016176e+19
3,1.4015461816300862e+20,1.9395907291097702e+19,5.85930465943392e+19,1.0675793083295356e+20,6.070333064104558e+20,9.576678808799488e+21,5.0976822639081626e+17,6.600341978724406e+20,1.2524708432912586e+20,3.2120414517324447e+18
4,5.337268616127879e+19,3.8236925442971607e+18,5.1984301013014315e+19,5.694120069616578e+21,5.164458940544056e+20,8.934512053312233e+19,2.173399196828407e+18,8.114505814709061e+22,1.0106804306629304e+19,3.5958186580661105e+18
5,3.242683922088904e+20,1.6757942277327158e+18,2.4744857678724723e+19,6.058189909256187e+21,8.530035421417435e+18,2.4235054676955703e+20,2.1089217934726794e+20,1.331488458608367e+20,1.0632145115471742e+17,8.751229755064184e+18
6,5.966175148480282e+19,6.174825201692541e+18,7.559690097385429e+18,2.8573466616232504e+18,7.261467600790445e+22,1.0179714004552289e+21,1.2421153576222235e+20,9.882955704994572e+19,5.6364534538631455e+19,5.12141238812937e+19
7,5.573568194319446e+21,2.815962998705183e+19,2.5819939526051978e+20,7.77205379354392e+18,5.682637629594834e+16,1.1340921891901017e+20,5.133732299571177e+19,1.1266290595274853e+18,4.496234668014713e+19,1.1756476994815048e+19
8,3.775534830419163e+22,4.297388924488768e+19,1.894078157077189e+19,6.835783530857884e+17,1.2322482848556333e+19,1.8465673123478053e+19,2.5839679144072524e+19,1.4260695893371808e+19,1.1732452458977504e+20,1.4373035287179162e+18
9,3.855410681741711e+19,1.3349187304323506e+20,1.404776911013479e+19,6.121494266916056e+19,5.834523270204072e+19,6.277475920365946e+18,2.6539154344814864e+20,9.786251451543791e+19,8.25184668252551e+19,2.81449007438154e+19
10,1.3557318815924782e+21,5.14971024622685e+19,2.6229692723417953e+20,3.286934200825219e+17,1.1791704593354625e+21,1.3473791376804544e+18,5.9926122016000524e+19,4.357182976864677e+20,1.5249411082386817e+20,4.917683231666716e+18
11,1.2329902797203148e+20,4.601288239511298e+20,1.2354285531740843e+20,6.953997548799563e+19,7.010965129094596e+18,7.655594951400075e+20,7.461660496135948e+20,1.560857418427341e+21,1.384785051337034e+20,4.4297674967869864e+21
12,1.69004377706638e+20,7.543792345768689e+18,3.2456595852277775e+18,3.3356406446672275e+20,3.4563256586727336e+21,6.1459100270458356e+19,1.1306489076476458e+20,3.777315643369294e+19,9.650495029664374e+20,2.3210078195445332e+22
13,1.1276524643586656e+22,4.3973246338411193e+21,1.091205935208431e+20,1.5648571828745853e+19,1.2203110482503926e+23,4.432092194224992e+18,1.845864386328081e+20,9.836303695088058e+17,5.930009613947856e+20,4.6167082823254675e+17
14,1.1021992698733649e+18,2.945020503694206e+17,6.048630214032371e+18,4.24153418253197e+20,4.745443418987809e+18,4.5331110084146574e+21,3.2275519430134786e+20,1.708578809491174e+19,2.5909755913257445e+20,5.231332230841577e+20
15,1.5233442805168812e+18,4.026576522689956e+20,1.2604668061096304e+21,2.0371769187890312e+20,2.1491564426053226e+20,1.502770082447919e+19,2.5303031806067248e+23,7.876670854817055e+21,5.442479831109772e+19,1.7561768507268016e+20
16,2.0344786414742637e+17,5.0721528326342025e+19,3.021048678298515e+21,2.498775627195667e+17,8.25555400364018e+16,4.948521000673216e+19,1.902739994568629e+21,8.29268432311726e+18,1.7229697261617046e+19,6.257273176285024e+21
17,2.2447445509683114e+21,1.5665842093055597e+20,9.357262466846987e+19,1.5686672288068315e+20,3.95525873020393e+19,1.8347329444754805e+19,4.907521243715235e+19,6.698490145588026e+19,6.278574806611801e+22,3.9002944437870055e+20
18,1.1632458502075681e+21,3.5135751200001213e+18,2.7163043656424625e+21,1.3081289211325555e+19,5.514841225264752e+17,2.7990929115062554e+20,4.2649016334100374e+21,1.2974019437135424e+22,2.5482538131775807e+19,1.4352526361875934e+20
19,3.855202021004532e+21,7.042923578765526e+18,1.318378344864977e+18,4.983112902048192e+19,2.8437978120315313e+22,1.860718208023116e+20,1.999645281497584e+21,2.616523472960093e+17,8.773175825250046e+18,5.3966102665167405e+20
20,8.467722973761893e+22,1.506238519439543e+21,1.0212307907049323e+20,1.6385145790274181e+19,5.897983363033356e+19,2.1959387709688457e+20,7.416529030534071e+17,2.207273978038365e+20,9.807435740415754e+17,3.952221798654873e+19
21,1.4782931544281241e+21,4.667561405575007e+22,9.69013981859113e+17,4.9488812833522306e+20,2.1719865504559303e+22,1.3915898947366937e+19,6.297980979674616e+20,2.2566071349216796e+22,1.1669136288627725e+23,5.008872026155045e+20
22,7.215445262977062e+19,2.1381488112267887e+19,5.531657074626352e+19,6.104139890123773e+19,1.2743856076660644e+21,1.6558875549934352e+19,1.5319399934198625e+21,9.864002857149706e+18,2.9523886807315364e+18,2.0284066832913376e+21
23,1.1943041969312663e+21,4.911708644500356e+20,1.8045195457047782e+18,4.352807831209821e+18,3.636348665213168e+21,1.2394223704269355e+19,7.500936617902654e+20,1.4428066229718622e+20,2.305996155475445e+19,7.45946138874979e+19
24,2.5644755203136215e+18,4.273431685120886e+21,2.9230540138657526e+18,1.3989106494204658e+20,5.307745867128048e+18,2.416418562843425e+19,5.749533130553192e+20,7.800919644130094e+21,1.0999698413840759e+18,1.673604925108653e+22
25,3.0793750907982276e+20,5.870793943488354e+21,2.1386978959514878e+20,1.1914549891349262e+21,1.1979036855850926e+18,3.695404417262791e+18,1.3578181715880093e+20,3.1826570711843927e+18,9.327002749640643e+18,1.560871111194761e+21
26,3.655853243355452e+18,1.4645985339549514e+18,9.445539842062481e+18,2.0098481895125127e+19,2.2108319505312763e+20,4.848873285659879e+18,2.825924611441995e+18,1.1801732620731097e+20,4.189459871525266e+19,1.2159970551396534e+23
27,1.8940531063060645e+22,4.665774990345396e+17,2.1486040195938568e+18,9.062852240924072e+18,4.989111806458311e+18,3.819999856387808e+22,2.9532128087868434e+22,8.648587846003251e+20,6.041405054036775e+21,5.089709134712385e+18
28,1.165536764156677e+20,5.101538339015991e+18,8.91039530119509e+18,4.000689844767074e+19,7.277703829894255e+20,3.2687104748943563e+22,4.5292593800794554e+19,3.9745538313929255e+20,2.8136119629663965e+19,1.1584600462984133e+20
29,4.965542100973555e+19,4.399157339651781e+21,2.9188136165979853e+19,1.4890569076491577e+22,4.723010864654486e+19,6.326625477370753e+18,8.606736839873423e+18,7.583896634843724e+19,1.3755668708641614e+23,1.9444471918738983e+22
30,1.3752050130540186e+19,1.8619882962686958e+18,7.585980946386548e+19,7.136138146625639e+22,1.2233124738450902e+20,2.5402446475502698e+17,6.215729291931938e+20,7.575943205030769e+18,3.128067083932606e+17,3.3471844596563175e+20
31,1.1140656607233984e+21,5.229375832407315e+19,7.327017838319562e+18,4.096324530217636e+20,1.5388242701139376e+22,7.552151334828956e+18,5.0010217317170815e+23,9.103015513489264e+19,2.9646616660290834e+19,3.3447273808875026e+21
32,6.9163627890732245e+19,2.980832798866922e+22,3.0923021326643816e+20,6.86936171003911e+21,1.1641227111941202e+20,5.267462756453847e+20,1.2636545580025162e+19,3.5209159353192903e+19,3.777865055621199e+19,5.320490581371325e+22
33,1.6954027466220863e+20,1.275828324140781e+20,8.563818862897132e+19,2.6854958665503217e+21,2.192229376867829e+18,1.1808965557582884e+21,4.0570523325164834e+20,8.187253980449151e+19,9.991206758454867e+20,6.124789207324133e+18
34,1.8660934630953642e+17,4.891534679624448e+20,1.0211547350141048e+20,3.6871356302721384e+19,4.427311242440646e+18,2.3663592301091216e+17,2.1791691431372105e+20,3.3370192404712563e+19,1.5930657787965505e+22,1.1199882823021195e+19
35,2.5466056265644678e+20,2.177475005262963e+19,3.965645217823542e+19,1.6721421254414415e+18,1.4051502299022334e+20,1.827899041069011e+20,6.219105257482503e+20,2.4102289618944304e+21,2.257829102002823e+19,4.0701658890920615e+21
36,2.430669571509521e+20,4.6555576954968185e+20,1.3859952782735822e+21,3.462309231867393e+20,1.1895488472125291e+20,1.6692281203412e+16,1.529338749076651e+22,1.0484145750525529e+21,5.7276029399762895e+19,7.358284614657596e+21
37,2.5315916594329145e+20,2.305592764356488e+21,1.8632546724330167e+20,1.5558637002717082e+20,3.018701260610048e+20,1.1077909232783765e+20,2.9677691771855196e+19,2.148815021655948e+19,1.4489041326044697e+19,9.387595200749647e+20
38,1.841518755144514e+22,1.808000623345127e+17,4.656526799520361e+18,3.219410549629038e+19,4.465206685573752e+19,3.076035652288395e+20,1.2399671538252618e+19,1.754252728882838e+20,1.5118025114176263e+21,2.8479493124519485e+19
39,4.460858575009086e+20,8.62491354120592e+20,5.312464969239818e+20,9.354058925205805e+18,3.3549163049907074e+20,1.4942769246580565e+23,4.500642742539374e+19,1.5302029948591448e+19,3.03507103914328e+20,7.334169015503963e+19
40,3.164810715255343e+19,2.122456389965087e+23,3.926186525668499e+22,4.650261648903969e+19,4.302011658450392e+19,1.3062107948558254e+19,8.308773836086465e+20,6.73689567036776e+19,1.0467989537487297e+18,2.399124315979775e+20
41,5.939801345176996e+19,8.45097689694613e+20,9.796039051428666e+19,7.65569873765823e+19,2.685520778952759e+20,1.5378997502844574e+21,6.639468778499078e+20,2.9969541989271454e+19,2.2648626445026227e+20,9.510398134483562e+19
42,5.159761254428734e+20,1.5931335437370454e+19,5.351900864171447e+21,1.4366903469837154e+19,1.0344697292149874e+21,3.8841427287917005e+21,4.634816039093421e+19,3.585685316896937e+20,1.4175247813809684e+21,8.224544249756515e+19
43,8.589111901741228e+17,1.318233246871634e+21,2.723672189354936e+19,1.7656330502080864e+19,5.680830792358092e+18,1.0535319533793508e+22,2.263870100006787e+23,3.4623641280556257e+19,3.5905788841208435e+17,5.870216857253975e+19
44,3.895702421291818e+20,2.021642545621632e+18,1.677720754909571e+20,7.0012992441950626e+19,3.614615806632038e+19,2.1620378632487612e+16,6.612490398240128e+19,7.079973639850567e+19,6.877855351931433e+19,3.8795270390629296e+21
45,4.0327218349113174e+20,6.476804655871935e+19,5.506203330799988e+19,3.3297203139833307e+21,9.994489090039597e+19,7.689070921304593e+19,3.5624440135489737e+19,6.339973385641634e+20,1.3317750091820685e+21,6.251886785868039e+18
46,8.035000267609671e+18,7.715395742465059e+21,5.926322696556672e+19,1.9612813415144846e+20,4.6626488411020486e+20,1.0425174214242701e+23,5.776758225145906e+20,4.899269703224943e+19,2.0558737736616682e+23,4.705897140155022e+20
47,2.997893124512407e+18,1.79471761549353e+19,1.1428982985156913e+21,1.637960054456881e+19,1.2405080844036415e+19,4.373926914573868e+19,1.393518869858815e+18,7.380080822017515e+21,1.924750308024197e+20,5.452811965295439e+20
48,2.175821502161767e+19,1.7028738561189702e+19,1.3009866562421545e+20,1.5575588694699346e+19,1.5173795866070283e+20,1.7624639561372446e+21,4.353701626047522e+19,5.778639611530457e+18,4.642931548108148e+17,1.1168876393840977e+22
49,3.277281255206792e+19,3.0452099584888755e+18,2.556443201391624e+22,6.832861467245687e+19,2.7087458996867813e+20,1.419389810703825e+20,1.0740710567739852e+21,7.865235724008246e+20,6.40142904177401e+19,4.730154867280854e+17
50,1.719892174228966e+20,1.933603050346096e+17,1.3939629062501668e+20,7.621588563534582e+18,5.96917347866713e+21,1.0737576866829799e+21,1.0054448989494396e+21,5.282755991807936e+19,6.309431206991631e+18,3.2773048496521006e+20
51,6.014645162652672e+19,4.3416411861499616e+20,1.3836781512907512e+18,7.298206565349363e+18,3.254054153980555e+19,8.691203162010044e+19,1.6435022751060693e+19,5.458267917752422e+19,2.7581072354807566e+20,3.030247351785402e+20
52,2.0024671434796978e+23,8.14114392577385e+18,3.34953064315169e+19,1.095182642439178e+20,3.017321076439568e+20,3.1804471675446336e+17,6.407139015392891e+18,2.9361221362090616e+20,8.461783653779777e+18,7.227964519327959e+19
53,1.9822827660818685e+18,1.3880433791074089e+19,2.887342291942067e+21,1.52619600060316e+18,6.544799016299941e+18,1.5062058924548347e+18,7.79736657048675e+19,1.175414472279623e+20,4.038596847338803e+18,7.140522426425644e+17
