,blockNumber,erc20CoinTotalSupply,globalDebt,timestamp,hourlyredemptionPriceActual,hourlyredemptionRateActual,hourlymarketPriceEth,hourlymarketPriceUsd,activeLiquidations,currentFsmUpdate,debtCeiling,liquidationsStarted,totalAnnualizedStabilityFee,totalCollateral,Eth_price,coinAddress,coinUniswapPair,currentCoinMedianizerUpdate,debtAvailableToSettle,globalDebtCeiling,systemSurplus,totalActiveSafeCount,wethAddress,RedemptionRateAnnualizedRate,RedemptionRateHourlyRate,RedemptionRateEightHourlyRate,RedemptionPrice,RAIInUniswapV2(RAI/ETH)
0,11857308,1988.440432971667,1988.5774994898436,1613338681,3.14,1.0,0.0025894622100485435,4.709364363675083,0,{'value': '1803.65643044'},10000000,0,1.019999999999999999972831879,14.892360473369843164,1803.65643044,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '661.764842786150958141', 'reserve1': '1.713615052333453499'}",,0,115792089237316195423570985008687.9,0.06853325908830422221834559248594176,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,661.764842786151
1,11860793,2788.440432971667,2788.657935201719,1613384616,3.14,1.0,0.002481355746535171,4.362594137056345,0,{'value': '1803.65643044'},10000000,0,1.019999999999999999972831879,14.892360473369843164,1803.65643044,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '676.933726709008306816', 'reserve1': '1.679713392792866803'}",,0,115792089237316195423570985008687.9,0.1087511150258265757085590152709335,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,676.9337267090083
2,11861399,2788.440432971667,2788.66534588522,1613393080,3.14,1.0,0.002481355746535171,4.419265710853707,0,{'value': '1763.97493608'},10000000,0,1.019999999999999999972831879,16.892360473369843164,1763.97493608,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '676.933726709008306816', 'reserve1': '1.679713392792866803'}",,0,115792089237316195423570985008687.9,0.1161617985274885650688366678947734,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,676.9337267090083
3,11861474,3048.440432971667,3048.6459549535107,1613394096,3.14,1.0,0.0017689349557018196,3.194329891923854,0,{'value': '1763.97493608'},10000000,0,1.019999999999999999972831879,16.892360473369843164,1763.97493608,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '801.933726709008306816', 'reserve1': '1.418568601331794594'}",{'value': '0'},0,115792089237316195423570985008687.9,0.1161617985274885650688366678947734,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,801.9337267090083
4,11862329,3048.440432971667,3048.6844103711487,1613405255,3.14,1.0,0.0017689349557018196,3.21544617723576,0,{'value': '1803.89114874'},10000000,0,1.019999999999999999972831879,16.892360473369843164,1803.89114874,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '801.933726709008306816', 'reserve1': '1.418568601331794594'}",{'value': '0'},0,115792089237316195423570985008687.9,0.1278156009542366213422373102764649,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,801.9337267090083
5,11862624,3048.440432971667,3048.6960641735755,1613409220,3.14,1.0,0.0017689349557018196,3.2233174614144495,0,{'value': '1793.77028187'},10000000,0,1.019999999999999999972831879,16.892360473369843164,1793.77028187,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '801.933726709008306816', 'reserve1': '1.418568601331794594'}",{'value': '0'},0,115792089237316195423570985008687.9,0.1278156009542366213422373102764649,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,801.9337267090083
6,11862906,3048.440432971667,3048.70314073133,1613412648,3.14,1.0,0.0017689349557018196,3.212255638445861,0,{'value': '1825.88714441'},10000000,0,1.019999999999999999972831879,19.892360473369843164,1825.88714441,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '801.933726709008306816', 'reserve1': '1.418568601331794594'}",{'value': '0'},0,115792089237316195423570985008687.9,0.1348921587091226836463051646047411,4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,801.9337267090083
7,11863227,4694.514977346455,4694.892775961534,1613417071,3.14,1.0,0.003142248476334278,5.722403865598027,0,{'value': '1822.17975343'},10000000,0,1.019999999999999999972831879,28.402360473369843164,1822.17975343,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '601.933726709008306816', 'reserve1': '1.891425335605595005'}",{'value': '0'},0,115792089237316195423570985008687.9,0.1414118715895398398662493327649886,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,601.9337267090083
8,11863455,4694.514977346455,5594.900441893782,1613420437,3.14,1.0,0.003142248476334278,5.724285740331109,1,{'value': '1821.53'},10000000,1,1.019999999999999999972831879,26.752930770403768109,1821.53,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '601.933726709008306816', 'reserve1': '1.891425335605595005'}",{'value': '0'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,53.9719136402814334960937820708832,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,601.9337267090083
9,11863774,5456.799518562104,6404.824426640505,1613424459,3.14,1.0,0.0017073882439154805,3.102095472079435,0,{'value': '1822.68027144'},10000000,1,1.019999999999999999972831879,26.66597488721813454,1822.68027144,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '816.933726709008306816', 'reserve1': '1.394823041041022821'}",{'value': '25.91762953962810453'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.6899208386121073771205705459673,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,816.9337267090083
10,11864260,5456.799518562104,6404.926688826206,1613431354,3.14,1.0,0.001772285078867474,3.1866365910062284,0,{'value': '1816.86589628'},10000000,1,1.019999999999999999972831879,32.26597488721813454,1816.86589628,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '1201.933726709008306816', 'reserve1': '2.130169209633951588'}",{'value': '25.91762953962810453'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.7060524026427969159799621820111,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,1201.9337267090084
11,11865064,6256.799518562104,7204.9644041229085,1613442165,3.14,1.0,0.001772285078867474,3.1806491396403005,0,{'value': '1765.95539775'},10000000,1,1.019999999999999999972831879,32.26597488721813454,1765.95539775,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '1201.933726709008306816', 'reserve1': '2.130169209633951588'}",{'value': '17.513757357283865436'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.727636135314939354760839476389,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,1201.9337267090084
12,11865735,6256.799518562104,7205.003454994314,1613450914,3.14,1.0,0.0023057405910641036,4.193534028137563,0,{'value': '1798.90780445'},10000000,1,1.019999999999999999972831879,34.36597488721813454,1798.90780445,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '1053.964708368352970279', 'reserve1': '2.430169209633951588'}",{'value': '17.513757357283865436'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.7451032740474329040709042772893,7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,1053.964708368353
13,11866039,7056.799518562104,8004.909406251388,1613455080,3.14,1.0,0.0027002486636708107,4.876001026910203,0,{'value': '1816.15'},10000000,1,1.019999999999999999972831879,34.36597488721813454,1816.15,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '974.047036860082824364', 'reserve1': '2.630169209633951588'}",{'value': '3.687304965204464174'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.7451032740474329040709042772893,7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,974.0470368600828
